stop_id,stop_code,stop_name,stop_lat,stop_lon
"620211326","620211326","Av. Juan Herman y Aguada de Guerra",-41.169550,-71.328757
"620213701","620213701","Cabecera-Peulla y Ruta 258",-41.169410,-71.328430
"6202114390","6202114390","Nehuen y Malvina Soledad",-41.169220,-71.319072
"6202137020","6202137020","Peulla y Diego Neil",-41.169210,-71.328410
"620214526","620214526","Parada Cerro Catedral",-41.169127,-71.440703
"620211325","620211325","Av. Juan Herman y Lupinos",-41.168700,-71.326010
"620211838","620211838","Crucero Gral. Belgrano y Sgto. Sergio García",-41.168652,-71.340140
"6202111150","6202111150","Av. Juan Herman y Lupinos",-41.168630,-71.325822
"6202119070","6202119070","Crucero Gral. Belgrano y Sgto. Sergio García",-41.168457,-71.340473
"6202121070","6202121070","Puerto Argentino y Rawson",-41.168157,-71.308792
"620212212","620212212","Puerto Argentino y Rawson",-41.168068,-71.308900
"6202111240","6202111240","Puerto Argentino y Rawson",-41.168050,-71.308680
"620211338","620211338","De Los Pañiles y De Los PeinecilLos",-41.167997,-71.365943
"620211832","620211832","Av. Juan Herman y Llanten",-41.167738,-71.323913
"620212211","620212211","Rawson y Ushuaia",-41.167715,-71.307692
"6202121080","6202121080","Rawson y Ushuaia",-41.167617,-71.307553
"6202111160","6202111160","Av. Juan Herman y José Luckman",-41.167610,-71.323690
"620213860","620213860","Peulla y Cacique Chocori",-41.167330,-71.330900
"620213702","620213702","Peulla y Cacique Chocori",-41.167325,-71.330890
"6202121060","6202121060","Puerto Argentino y Gdor. Vernet",-41.166975,-71.310200
"620213858","620213858","Cacique Chocori y Shaquil",-41.166815,-71.330140
"620212213","620212213","Puerto Argentino y Gobernador Vernet",-41.166710,-71.310500
"6202111230","6202111230","Puerto Argentino y Gdor. Verne",-41.166710,-71.310390
"6202111170","6202111170","Av. Juan Herman y Nehuen",-41.166670,-71.322350
"6202119060","6202119060","Crucero Gral. Belgrano y Cabo Ávila",-41.166658,-71.341985
"6202111250","6202111250","Carlos Wiederhold y Pedro Giachino",-41.166650,-71.306560
"620211839","620211839","Crucero Gral. Belgrano y Cabo Ávila",-41.166610,-71.341892
"6202121090","6202121090","Carlos Wiederhold y Pedro Giachino",-41.166600,-71.306640
"620212210","620212210","Carlos Wiederhold y Pedro Giachino",-41.166598,-71.306640
"620211831","620211831","Av. Juan Herman y Neneo",-41.166580,-71.322250
"620213703","620213703","Shaquil y Cacique Chocori",-41.166462,-71.329963
"620214522","620214522","Acceso a Cerro Catedral - Co. San Martín",-41.166340,-71.434960
"620214403","620214403","Acceso a Cerro Catedral - Co. San Martín",-41.166127,-71.434953
"6202121050","6202121050","Puerto Argentino y José Obrero",-41.166110,-71.311122
"6202121030","6202121030","CAPS Ojo de Agua",-41.166037,-71.315117
"6202111200","6202111200","CAPS Ojo de Agua",-41.166010,-71.315118
"620212216","620212216","Malvina Soledad y Soldado Olavarría",-41.166008,-71.314755
"6202111220","6202111220","Puerto Argentino y José Obrero",-41.165980,-71.311150
"620212214","620212214","Puerto Argentino y José Obrero",-41.165963,-71.311297
"620212209","620212209","Carlos Wiederhold y Gdor. Vernet",-41.165617,-71.307503
"6202111260","6202111260","Carlos Wiederhold y Gdor. Verne",-41.165570,-71.307560
"6202121100","6202121100","Carlos Wiederhold y Gdor. Vernet",-41.165565,-71.307565
"620212217","620212217","Soldado Olavarría e Isaías Quilahueque",-41.165522,-71.315722
"620213704","620213704","Shaquil y Cacique Prafil",-41.165360,-71.331320
"620213857","620213857","Shaquil y Cacique Prafil",-41.165270,-71.331400
"6202111180","6202111180","Av. Juan Herman y Nuestras Malvinas",-41.165120,-71.320777
"620211830","620211830","Av. Juan Herman y Charcao",-41.165097,-71.320757
"620212215","620212215","Malvina Soledad y Puerto Argentino",-41.164920,-71.313172
"620211840","620211840","Cancha Barrio Unión",-41.164900,-71.343368
"6202121040","6202121040","Malvina Soledad y Puerto Argentino",-41.164877,-71.313107
"6202111210","6202111210","Malvina Soledad y Puerto Argentino",-41.164860,-71.313210
"6202119050","6202119050","Cancha Barrio Unión",-41.164808,-71.343617
"6202142010","6202142010","Esc. Municipal Cailen",-41.164687,-71.301037
"620214109","620214109","Esc. Municipal Cailen  ",-41.164678,-71.301022
"6202121020","6202121020","Soldado Olavarría y Coral",-41.164545,-71.316887
"620213841","620213841","Charcao y Av. Juan Herman",-41.164448,-71.320978
"620213722","620213722","Charcao y Av. Juan Herman",-41.164422,-71.321012
"620212218","620212218","Soldado Olavarría y Coral",-41.164400,-71.317080
"6202111190","6202111190","Soldado Olavarría y Cora",-41.164380,-71.316930
"620213705","620213705","Cacique Prafil y Paico",-41.164210,-71.330130
"620213856","620213856","Cacique Prafil y Paico",-41.164170,-71.330073
"620214108","620214108","Rivadavia B° Vivero",-41.163690,-71.299870
"6202142020","6202142020","Rivadavia B° Vivero",-41.163688,-71.299870
"620213721","620213721","Charcao y Cacique Purran",-41.163660,-71.321910
"6202120030","6202120030","Cacique Huicaleo y Pecho Colorado",-41.163640,-71.343270
"620213842","620213842","Charcao y Cacique Purran",-41.163523,-71.322055
"620212208","620212208","Carlos Wiederhold y Malvinas Argentinas",-41.163473,-71.310880
